N32,Organize_Performance_Activities,Organize Performance Activities,TeacherActivity,,
N33,Interactive_Tools,Interactive Tools,TeacherActivity,,
N34,AI_Generated_Tools,AI-Generated Tools,TeacherActivity,,
N35,Video_Editing_Tools,Video Editing Tools,TeacherActivity,,
N36,Resource_Platforms,Resource Platforms,TeacherActivity,,
N37,Research_Tools,Research Tools,TeacherActivity,,
N38,Contextual_Introduction_Why,If stories or videos are used, then students’ attention and interest are quickly captured.,Why,
N39,Contextual_Introduction_Attention,Align content with objectives, limit to 2-3 minutes.,Attention,
N40,Contextual_Introduction_Specific_Activities,Contextual Introduction Specific Activities,SpecificActivity,,
N41,Use_Vivid_Verbal_Language_Why,If vivid language and varied intonation are used, then students listen more attentively.,Why,
N42,Use_Vivid_Verbal_Language_Attention,Use natural intonation, ensure clear instructions.,Attention,
N43,Use_Vivid_Verbal_Language_Specific_Activities,Use Vivid Verbal Language Specific Activities,SpecificActivity,,
N44,Teachers_Body_Language_Why,If gestures or eye contact are used, then students’ attention is rekindled.,Why,
N45,Teachers_Body_Language_Attention,Use moderate gestures, maintain positive attitude.,Attention,
N46,Teachers_Body_Language_Specific_Activities,Teacher's Body Language Specific Activities,SpecificActivity,,
N47,Conduct_Game_Activities_Why,If games are fun and competitive, then students listen attentively to rules.,Why,
N48,Conduct_Game_Activities_Attention,Use simple rules, limit to 5-10 minutes, ensure participation.,Attention
N49,Conduct_Game_Activities_Specific_Activities,Conduct Game Activities Specific Activities,SpecificActivity,,
N50,Timed_Task_Challenges_Why,If tasks have time limits, then students focus and listen to instructions.,Why,
N51,Timed_Task_Challenges_Attention,Set reasonable time, match task difficulty to ability.,Attention,
N52,Timed_Task_Challenges_Specific_Activities,Timed Task Challenges Specific Activities,SpecificActivity,,
N53,Organize_Varied_Fun_Reading_Activities_Why,If role-playing or group reading is used, then students listen attentively to prepare.,Why,
N54,Organize_Varied_Fun_Reading_Activities_Attention,Use structured formats, demonstrate intonation.,Attention,
N55,Organize_Varied_Fun_Reading_Activities_Specific_Activities,Organize Varied Fun Reading Activities Specific Activities,SpecificActivity,,
N56,Conduct_Audiovisual_Activities_Why,If videos or picture books are used, then students’ attention is attracted.,Why,
N57,Conduct_Audiovisual_Activities_Attention,Use lesson-related materials, guide focus.,Attention,
N58,Conduct_Audiovisual_Activities_Specific_Activities,Conduct Audiovisual Activities Specific Activities,SpecificActivity,,
N59,Organize_Competitive_Activities_Why,If quizzes are goal-driven, then students listen to questions attentively.,Why,
N60,Organize_Competitive_Activities_Attention,Use tiered questions, ensure fair rewards.,Attention,
N61,Organize_Competitive_Activities_Specific_Activities,Organize Competitive Activities Specific Activities,SpecificActivity,,
N62,Encourage_Student_Movement_Why,If movement is encouraged, then students’ attention is rekindled.,Why,
N63,Encourage_Student_Movement_Attention,Keep activities orderly, limit to 10 minutes.,Attention,
N64,Encourage_Student_Movement_Specific_Activities,Encourage Student Movement Specific Activities,SpecificActivity,,
N65,Guide_Students_to_Identify_Key_Points_Why,If key words or questions are used, then students comprehend lesson core.,Why,
N66,Guide_Students_to_Identify_Key_Points_Attention,Use clear content, provide feedback.,Attention,
N67,Guide_Students_to_Identify_Key_Points_Specific_Activities,Guide Students to Identify Key Points Specific Activities,SpecificActivity,,
N68,Connect_to_Real_Life_Experiences_Why,If real-life links are made, then students deepen comprehension.,Why,
N69,Connect_to_Real_Life_Experiences_Attention,Control sharing time, ensure safe environment.,Attention,
N70,Connect_to_Real_Life_Experiences_Specific_Activities,Connect to Real-Life Experiences Specific Activities,SpecificActivity,,
N71,Create_Contextual_Scenarios_Why,If scenarios are created, then students enhance comprehension.,Why,
N72,Create_Contextual_Scenarios_Attention,Align with cognitive levels, provide examples.,Attention,
N73,Create_Contextual_Scenarios_Specific_Activities,Create Contextual Scenarios Specific Activities,SpecificActivity,,
N74,Use_Images_Videos_to_Support_Academic_Activities_Why,If images or videos are used, then students comprehend via visuals.,Why,
N75,Use_Images_Videos_to_Support_Academic_Activities_Attention,Use relevant materials, guide discussion.,Attention,
N76,Use_Images_Videos_to_Support_Academic_Activities_Specific_Activities,Use Images/Videos to Support Academic Activities Specific Activities,SpecificActivity,,
N77,Guide_Oral_Expression_Why,If storytelling is used, then students listen to prepare responses.,Why,
N78,Guide_Oral_Expression_Attention,Use specific tasks, encourage shy students.,Attention,
N79,Guide_Oral_Expression_Specific_Activities,Guide Oral Expression Specific Activities,SpecificActivity,,
N80,Conduct_Writing_Activities_Why,If writing tasks are assigned, then students listen to transform content.,Why,
N81,Conduct_Writing_Activities_Attention,Use relatable topics, provide frameworks.,Attention,
N82,Conduct_Writing_Activities_Specific_Activities,Conduct Writing Activities Specific Activities,SpecificActivity,,
N83,Pose_Questions_to_Guide_Word_Reflection_Why,If questions spark reflection, then students listen and analyze text.,Why,
N84,Pose_Questions_to_Guide_Word_Reflection_Attention,Use open-ended questions, allow thinking time.,Attention,
N85,Pose_Questions_to_Guide_Word_Reflection_Specific_Activities,Pose Questions to Guide Word Reflection Specific Activities,SpecificActivity,,
N86,Conduct_Debate_Activities_Why,If debates are held, then students listen to opponents’ views.,Why,
N87,Conduct_Debate_Activities_Attention,Use age-appropriate topics, set clear rules.,Attention,
N88,Conduct_Debate_Activities_Specific_Activities,Conduct Debate Activities Specific Activities,SpecificActivity,,
N89,Focus_on_Emotional_Analysis_Activities_Why,If emotions are analyzed, then students empathize via text cues.,Why,
N90,Focus_on_Emotional_Analysis_Activities_Attention,Start with simple emotions, connect to experiences.,Attention,
N91,Focus_on_Emotional_Analysis_Activities_Specific_Activities,Focus on Emotional Analysis Activities Specific Activities,SpecificActivity,,
N92,Conduct_Empathy_Activities_Why,If role-playing is used, then students empathize with characters.,Why,
N93,Conduct_Empathy_Activities_Attention,Provide clear contexts, monitor emotions.,Attention,
N94,Conduct_Empathy_Activities_Specific_Activities,Conduct Empathy Activities Specific Activities,SpecificActivity,,
N95,Encourage_Evaluation_Activities_Why,If evaluations are made, then students empathize via perspectives.,Why,
N96,Encourage_Evaluation_Activities_Attention,Base on textual evidence, use respectful language.,Attention,
N97,Encourage_Evaluation_Activities_Specific_Activities,Encourage Evaluation Activities Specific Activities,SpecificActivity,,
N98,Organize_Group_Collaboration_Activities_Why,If collaboration is encouraged, then students empathize with peers.,Why,
N99,Organize_Group_Collaboration_Activities_Attention,Balance groups, set collaboration rules.,Attention,
N100,Organize_Group_Collaboration_Activities_Specific_Activities,Organize Group Collaboration Activities Specific Activities,SpecificActivity,,
N101,Teachers_Body_Language_for_Timely_Feedback_Why,If smiles or gestures are used, then students feel noticed and listen.,Why,
N102,Teachers_Body_Language_for_Timely_Feedback_Attention,Use sincere gestures, focus on all students.,Attention,
N103,Teachers_Body_Language_for_Timely_Feedback_Specific_Activities,Teacher's Body Language for Timely Feedback Specific Activities,SpecificActivity,,
N104,Conduct_Drawing_Activities_Why,If drawing is assigned, then students listen for inspiration.,Why,
N105,Conduct_Drawing_Activities_Attention,Use simple tasks, provide templates, limit to 10-15 minutes.,Attention
N106,Conduct_Drawing_Activities_Specific_Activities,Conduct Drawing Activities Specific Activities,SpecificActivity,,
N107,Conduct_Craft_Activities_Why,If crafts are used, then students listen to steps attentively.,Why,
N108,Conduct_Craft_Activities_Attention,Use safe materials, explain steps clearly.,Attention,
N109,Conduct_Craft_Activities_Specific_Activities,Conduct Craft Activities Specific Activities,SpecificActivity,,
N110,Organize_Performance_Activities_Why,If skits are performed, then students listen to prepare parts.,Why,
N111,Organize_Performance_Activities_Attention,Use lesson-related content, rehearse, include shy students.,Attention
N112,Organize_Performance_Activities_Specific_Activities,Organize Performance Activities Specific Activities,SpecificActivity,,
N113,Interactive_Tools_Why,If interactive tools are used, then students listen to instructions.,Why,
N114,Interactive_Tools_Attention,Test equipment, align with lesson goals.,Attention,
N115,Interactive_Tools_Specific_Activities,Interactive Tools Specific Activities,SpecificActivity,,
N116,AI_Generated_Tools_Why,If AI tools are used, then students listen to feedback.,Why,
N117,AI_Generated_Tools_Attention,Screen content for accuracy, guide usage.,Attention,
N118,AI_Generated_Tools_Specific_Activities,AI-Generated Tools Specific Activities,SpecificActivity,,
N119,Video_Editing_Tools_Why,If video editing is assigned, then students listen to guidance.,Why,
N120,Video_Editing_Tools_Attention,Use simple tasks, set time limits.,Attention,
N121,Video_Editing_Tools_Specific_Activities,Video Editing Tools Specific Activities,SpecificActivity,,
N122,Resource_Platforms_Why,If platforms are used, then students listen to content.,Why,
N123,Resource_Platforms_Attention,Screen for relevance, control time.,Attention,
N124,Resource_Platforms_Specific_Activities,Resource Platforms Specific Activities,SpecificActivity,,
N125,Research_Tools_Why,If research tools are used, then students listen to tasks.,Why,
N126,Research_Tools_Attention,Use specific tasks, guide tool usage.,Attention,
N127,Research_Tools_Specific_Activities,Research Tools Specific Activities,SpecificActivity,,
N128,Story,Story,ConcreteActivity,,
N129,Song,Song,ConcreteActivity,,
N130,Video,Video,ConcreteActivity,,
N131,Pose_Questions,Pose Questions,ConcreteActivity,,
N132,Teacher_language_engaging,Teacher’s language is engaging with varied intonation,ConcreteActivity,,
N133,Exclamatory_sentences,Use exclamatory sentences frequently, e.g., Wow!/Look at this!,ConcreteActivity
N134,Clear_instructions,Teacher’s instructions are simple and clear,ConcreteActivity,,
N135,Eye_contact_signals,Eye contact signals,ConcreteActivity,,
N136,Nodding_clapping,Nodding, clapping (to show attention),ConcreteActivity,
N137,Patting_shoulders,Patting students’ shoulders as a reminder,ConcreteActivity,,
N138,Word_games,Word games (e.g., train game, hide-and-seek with words),ConcreteActivity
N139,Quick_response_challenge_games,Quick-response challenge games,ConcreteActivity,,
N140,Online_related_games,Online related games,ConcreteActivity,,
N141,Specify_time,Specify the time for each task,ConcreteActivity,,
N142,Short_duration_tasks,Assign more short-duration tasks,ConcreteActivity,,
N143,Varied_formats,Varied formats (individual, pair, group),ConcreteActivity
N144,Role_play_reading,Students role-play reading,ConcreteActivity,,
N145,Group_competitive_reading,Group competitive reading,ConcreteActivity,,
N146,Read_different_emotions,Read with different emotions,ConcreteActivity,,
N147,Watch_videos_photos,Watch videos/photos (lesson-related),ConcreteActivity,,
N148,Listen_music,Listen to music (lesson-related),ConcreteActivity,,
N149,Read_picture_books,Read picture books (lesson-related),ConcreteActivity,,
N150,Observe_objects,Have students observe objects (lesson elements),ConcreteActivity,,
N151,Knowledge_quiz,Lesson content knowledge quiz,ConcreteActivity,,
N152,Unit_review_competition,Unit review competition,ConcreteActivity,,
N153,Extracurricular_competition,Extracurricular knowledge competition,ConcreteActivity,,
N154,Stand_read_postures,Stand and read in different postures,ConcreteActivity,,
N155,Move_find_partners,Whole class moves to find partners (form teams),ConcreteActivity,,
N156,Sing_express,Sing to express,ConcreteActivity,,
N157,Dance_body_performance,Dance/body performance,ConcreteActivity,,
N158,Key_words_sentences,Key words/sentences,ConcreteActivity,,
N159,Find_differences,Find differences,ConcreteActivity,,
N160,Fill_knowledge_lists,Fill out knowledge lists (K-W-L charts),ConcreteActivity,,
N161,Progressive_questioning,Progressive questioning,ConcreteActivity,,
N162,Share_insights,Share insights/experiences related to real life,ConcreteActivity,,
N163,Tell_stories,Tell stories related to life,ConcreteActivity,,
N164,Simulate_scenarios,Simulate real-life scenarios,ConcreteActivity,,
N165,Imagine_scenes,Imagine scenes from pictures, recognize words from pictures,ConcreteActivity,
N166,Mind_maps,Use mind maps,ConcreteActivity,,
N167,Comics_differentiation,Differentiate through comics,ConcreteActivity,,
N168,Observe_objects_shapes,Observe object shapes, smells, etc.,ConcreteActivity
N169,Pair_group_storytelling,Tell stories: Pair or group storytelling,ConcreteActivity,,
N170,Sentence_making,Sentence-making,ConcreteActivity,,
N171,Retell_keywords,Retell using given keywords,ConcreteActivity,,
N172,Write_pictures,Write based on pictures,ConcreteActivity,,
N173,Themed_essays,Themed essays (e.g., ‘My favorite dish’),ConcreteActivity,
N174,Open_ended_writing,Open-ended short writing (e.g., observing autumn scenes),ConcreteActivity,
N175,Choose_share_words,Choose and share favorite words/sentences (using the structure: I choose… because…),ConcreteActivity,,
N176,Debate_competition,Debate competition (pro and con sides),ConcreteActivity,,
N177,Mini_judges,Mini judges (scoring),ConcreteActivity,,
N178,Analyze_emotions,Analyze protagonist’s emotional changes,ConcreteActivity,,
N179,Describe_personal_emotions,Describe similar emotions from personal life,ConcreteActivity,,
N180,Pretend_author,Pretend to be the author to empathize and reflect,ConcreteActivity,,
N181,Empathize_role_playing,Empathize with the author through role-playing,ConcreteActivity,,
N182,Evaluate_characters,Evaluate lesson characters, scenery, animals,ConcreteActivity
N183,Peer_evaluation,Peer evaluation: pairs, whole class, friends…,ConcreteActivity
N184,Pair_group_evaluation,Pair or group peer evaluation (exchange opinions),ConcreteActivity,,
N185,Group_co_creation,Group co-creation,ConcreteActivity,,
